Team/Round,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Barcelona,1,1,1,1,2,1,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Real Madrid,3,10,13,7,5,5,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Atletico Madrid,12,6,4,4,4,3,5,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3
Valencia,11,2,2,2,1,2,2,4,4,2,3,4,5,5,5,4,4,5,5,4,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4
Sevilla,10,5,3,3,3,4,3,2,2,5,5,5,4,4,4,6,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Villarreal,4,9,8,6,7,7,7,6,8,8,8,8,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Athletic Bilbao,15,7,12,15,18,16,18,17,15,11,11,9,9,10,10,11,12,13,13,13,11,13,13,12,10,8,8,8,8,8,9,8,8,8,7,8,7,7
Celta de Vigo,2,3,5,8,6,6,6,7,6,6,7,7,8,8,8,8,9,9,11,12,10,10,9,8,8,9,11,10,11,12,10,9,9,9,10,10,11,8
Malaga,7,13,11,10,10,13,11,8,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,8,9
Espanyol,9,16,19,18,11,12,8,11,10,13,12,14,12,13,11,10,10,10,9,9,9,9,8,9,9,10,9,12,12,9,8,10,10,10,9,9,9,10
Rayo Vallecano,13,14,16,17,13,9,12,9,9,12,13,11,10,11,12,13,11,11,10,10,12,15,11,14,11,13,12,11,9,10,12,11,11,11,12,11,10,11
Real Sociedad,16,8,7,12,14,15,15,16,17,19,15,16,14,14,14,14,13,12,12,11,13,12,12,10,12,11,10,9,10,11,11,12,12,12,11,12,12,12
Elche,20,19,10,13,16,18,16,18,19,17,18,19,19,20,20,20,20,19,16,17,19,17,17,17,17,15,15,15,15,16,15,14,14,13,13,13,13,13
Levante,19,20,20,20,17,19,17,19,20,18,19,13,15,15,15,15,17,18,19,19,20,18,19,18,18,17,18,18,16,15,18,16,15,15,15,14,15,14
Getafe,17,12,15,16,19,14,14,10,12,10,9,10,13,12,13,12,14,14,15,14,15,14,15,13,14,12,13,13,13,13,13,13,13,14,14,15,14,15
Deportivo La Cortuna,14,15,9,14,15,17,20,15,16,16,17,18,18,19,16,17,16,16,17,16,14,11,14,15,15,16,16,16,17,17,16,18,18,18,18,17,16,16
Granada,5,4,6,5,8,11,13,14,14,15,14,15,16,16,17,18,19,20,20,20,18,20,18,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17
Eibar,6,11,14,9,9,8,9,12,11,9,10,12,11,9,9,9,8,8,8,8,8,8,10,11,13,14,14,14,14,14,14,15,16,16,17,19,19,18
Almeria,8,17,17,11,12,10,10,13,13,14,16,17,17,17,19,16,15,17,18,18,16,16,16,16,16,18,17,17,18,18,17,17,17,17,16,16,18,19
Cordoba,18,18,18,19,20,20,19,20,18,20,20,20,20,18,18,19,18,15,14,15,17,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
